"Species","Bark thickness","Conduit diam.","Crown diameter","Crown height","Leaf K","Leaf N","Leaf P","Leaf Vcmax","Leaf area","Leaf density","Leaf thickness","Root depth","Seed dry mass","Specific leaf area","Stem diameter","Stomatal conduct.","Tree height","Wood density"
"Sapium obovatum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.0114175418628,1.87938747483679,0.122121801666222,3202.847347058,0.327764400453038,0.25935309920178,1.7,32.8310243551185,21.5940749200797,0.541,150.323223776478,50,0.418727560743367
"Sapium pachystachys",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.3346522875953,1.87225152575568,0.122121801666222,3202.847347058,0.327764400453038,0.271478407927413,1.7,34.4185049785434,21.5940749200797,0.541,150.323223776478,50,0.418207676091232
"Sapium pallidum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.4468548806778,1.87722673772073,0.122121801666222,3202.847347058,0.327764400453038,0.247694680387342,1.7,32.9205781449319,21.5940749200797,0.541,150.323223776478,50,0.41594126819232
"Sapium paucinervium",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.4386260482025,1.86820596651835,0.122121801666222,3202.847347058,0.327764400453038,0.242240675889184,1.7,33.2122756659729,21.5940749200797,0.541,150.323223776478,50,0.412764876912779
"Sapium sellowianum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.6359781798539,1.87811442406887,0.122121801666222,3202.847347058,0.327764400453038,0.241884093176203,1.7,33.1382619559416,21.5940749200797,0.541,150.323223776478,50,0.403921081686819
"Sapium stylare",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.744655888947,1.89315633124832,0.122121801666222,3202.847347058,0.327764400453038,0.2526354150609,1.7,33.3112920548775,21.5940749200797,0.541,150.323223776478,50,0.435096767198528
"Sapranthus microcarpus",3.93971159793895,37.1836155292231,11.745,9.84,13.5613870253475,21.2438528965968,1.15371292235589,0.306812463747089,4834.92362500655,0.283159048152736,0.188062566513193,4.29,143.475080423636,20.4257388745998,0.23,84.1233229210476,25,0.596292309665938
"Sapranthus palanga",3.93971159793895,37.1836155292231,11.745,9.84,13.5613870253475,27.7140867132945,1.02712893893705,0.306812463747089,4834.92362500655,0.283159048152736,0.188062566513193,4.29,31.3342683945079,20.2692233346567,0.23,84.1233229210476,25,0.604441004018046
"Sapranthus violaceus",3.93971159793895,37.1836155292231,11.745,9.84,13.5613870253475,27.7140867132945,1.02712893893705,0.306812463747089,4834.92362500655,0.283159048152736,0.188062566513193,4.29,31.3342683945079,20.2692233346567,0.23,84.1233229210476,25,0.604441004018046
"Sapranthus viridiflorus",3.93971159793895,37.1836155292231,11.745,9.84,13.5613870253475,21.2438528965968,1.15371292235589,0.306812463747089,4834.92362500655,0.283159048152736,0.188062566513193,4.29,143.475080423636,20.4257388745998,0.23,84.1233229210476,25,0.596292309665938
"Saprosma arboreum",1.31128834609721,17.963758424297,11.3870547894259,13.6,11.6395736426246,15.5284115639021,0.609642716429784,0.397997721983185,1244.78849095644,0.261362610018585,0.218360233582949,1.22704868350759,5.63565412639539,7.89463375316566,0.205,125.224527625459,8,0.759511499506263
"Saprosma corymbosum",1.31128834609721,17.963758424297,11.3870547894259,13.6,11.6395736426246,15.5284115639021,0.609642716429784,0.397997721983185,1244.78849095644,0.261362610018585,0.218360233582949,1.22704868350759,5.63565412639539,7.89463375316566,0.205,125.224527625459,8,0.759511499506263
"Saprosma crassipes",1.31128834609721,17.963758424297,11.3870547894259,13.6,11.6395736426246,15.5284115639021,0.609642716429784,0.397997721983185,1244.78849095644,0.261362610018585,0.218360233582949,1.22704868350759,5.63565412639539,7.89463375316566,0.205,125.224527625459,8,0.759511499506263
"Saprosma fragrans",1.31128834609721,17.963758424297,11.3870547894259,13.6,11.6395736426246,15.5284115639021,0.609642716429784,0.397997721983185,1244.78849095644,0.261362610018585,0.218360233582949,1.22704868350759,5.63565412639539,7.89463375316566,0.205,125.224527625459,8,0.759511499506263
"Saprosma scabridum",1.31128834609721,17.963758424297,11.3870547894259,13.6,11.6395736426246,15.5284115639021,0.609642716429784,0.397997721983185,1244.78849095644,0.261362610018585,0.218360233582949,1.22704868350759,5.63565412639539,7.89463375316566,0.205,125.224527625459,8,0.759511499506263
"Saprosma ternatum",1.31128834609721,17.963758424297,11.3870547894259,13.6,11.6395736426246,15.5284115639021,0.609642716429784,0.397997721983185,1244.78849095644,0.261362610018585,0.218360233582949,1.22704868350759,5.63565412639539,7.89463375316566,0.205,125.224527625459,8,0.759511499506263
"Saraca asoca",3.53638433888589,38.4076129704178,24.3458074353604,25,11.2848312706446,17.8270351373547,1.74547733198924,0.366372972711863,6946.70753780527,0.448427503277852,0.230231840803895,4,1241.09779670138,9.47991563060377,0.593,170.803223965012,50,0.573254430910052
"Saraca celebica",3.53638433888589,38.4076129704178,24.3458074353604,25,11.2848312706446,17.8270351373547,1.74547733198924,0.366372972711863,6946.70753780527,0.448427503277852,0.230231840803895,4,1241.09779670138,9.47991563060377,0.593,170.803223965012,50,0.511899516428721
"Saraca declinata",3.53638433888589,38.4076129704178,24.3458074353604,25,11.2848312706446,17.8270351373547,1.74547733198924,0.366372972711863,6946.70753780527,0.448427503277852,0.230231840803895,4,1241.09779670138,9.47991563060377,0.593,170.803223965012,50,0.511899516428721
"Saraca dives",3.53638433888589,38.4076129704178,24.3458074353604,25,11.2848312706446,17.8270351373547,1.74547733198924,0.366372972711863,6946.70753780527,0.448427503277852,0.230231840803895,4,1241.09779670138,9.47991563060377,0.593,170.803223965012,50,0.570352429133775
"Saraca griffithiana",3.53638433888589,38.4076129704178,24.3458074353604,25,11.2848312706446,17.8270351373547,1.74547733198924,0.366372972711863,6946.70753780527,0.448427503277852,0.230231840803895,4,1241.09779670138,9.47991563060377,0.593,170.803223965012,50,0.511899516428721
"Saraca hullettii",3.53638433888589,38.4076129704178,24.3458074353604,25,11.2848312706446,17.8270351373547,1.74547733198924,0.366372972711863,6946.70753780527,0.448427503277852,0.230231840803895,4,1241.09779670138,9.47991563060377,0.593,170.803223965012,50,0.511967048586541
"Saraca indica",3.53638433888589,38.4076129704178,24.3458074353604,25,11.2848312706446,17.8270351373547,1.74547733198924,0.366372972711863,6946.70753780527,0.448427503277852,0.230231840803895,4,1241.09779670138,9.47991563060377,0.593,170.803223965012,50,0.573254430910052
